Sl.No,Molecule_Smiles,Combination_Code
161,CNC(=O)CO,F5-F9-F4-F1
162,CC(C(=O)N)O,F5-F9-F4-F1
163,CN(C(O)C)C,F1-F6-F1-F1
164,CNC(O)(C)C,F1-F6-F1-F1
165,CC(NC=O)O,F4-F5-F9-F1
166,CN(C=O)CO,F4-F5-F9-F1
167,CC(=O)NCO,F4-F5-F9-F1
168,NCC(C=O)O,F5-F9-F1-F4
169,NCC(=O)CO,F5-F9-F1-F4
170,NC(CC=O)O,F1-F5-F9-F4
171,NC(C=O)CO,F1-F5-F9-F4
172,NC(=O)CCO,F1-F5-F9-F4
173,NCC(CC)O,F1-F4-F5-F2
174,OCCNC=O,F1-F4-F5-F9
175,OCNCC=O,F1-F4-F5-F9
176,CC(CCN)O,F1-F5-F2-F4
177,OCOCC=O,F5-F9-F5
178,OC(C=O)CO,F5-F9-F5
179,COC(C=O)O,F5-F9-F5
180,OCC(=O)CO,F5-F9-F5
181,NC(NC=O)O,F4-F6-F9
182,O=CC(O)(N)N,F4-F6-F9
183,NC(=O)NCO,F4-F9-F6
184,NC(=O)C(O)N,F4-F9-F6
185,OCNCCN,F2-F4-F4-F5
186,OCOCCC,F1-F2-F3-F5
187,OCCCCO,F1-F2-F3-F5
188,COCCCO,F1-F2-F3-F5
189,OCC(CC)O,F1-F2-F3-F5
190,COC(CC)O,F1-F2-F3-F5
191,OCCCOC,F1-F2-F3-F5
192,OCCOCC,F2-F3-F1-F5
193,NC(CCN)O,F2-F4-F6
194,NC(NCC)O,F2-F4-F6
195,CCC(O)(N)N,F4-F6-F2
196,CNCNCO,F1-F4-F6-F1
197,CC(NCO)N,F1-F4-F6-F1
198,NCN(CO)C,F1-F4-F6-F1
199,CC(NCN)O,F1-F4-F6-F1
200,CNCC(O)N,F1-F4-F6-F1
201,NC(C(N)C)O,F1-F4-F6-F1
202,NCC(O)(N)C,F1-F4-F6-F1
203,CNC(CN)O,F1-F4-F6-F1
204,CCNC(O)N,F1-F4-F6-F1
205,NC(N(C)C)O,F1-F4-F6-F1
206,CNC(O)(N)C,F1-F4-F6-F1
207,CNC(NC)O,F1-F4-F6-F1
208,OC(C(=O)C)O,F5-F9-F3-F1
209,O=CC(O)(O)C,F5-F9-F3-F1
210,CC(OC)CO,F5-F5-F1-F1
211,COCC(O)C,F5-F5-F1-F1
212,CC(C(O)C)O,F5-F5-F1-F1
213,OCC(O)(C)C,F5-F5-F1-F1
214,CCC(CO)O,F5-F5-F1-F1
215,CCCOCO,F5-F5-F1-F1
216,OCOC(C)C,F5-F5-F1-F1
217,CCOC(O)C,F5-F5-F1-F1
218,COC(O)(C)C,F5-F5-F1-F1
219,CCC(OC)O,F5-F5-F1-F1
220,OCCC(O)C,F1-F5-F5-F1
221,OCC(CO)C,F1-F5-F5-F1
222,NCCNCO,F1-F1-F6-F4
223,NCCC(O)N,F1-F1-F6-F4
224,O=CCC(O)O,F1-F5-F9-F3
225,OC(CCC)O,F3-F5-F1-F2
226,CCC(O)(O)C,F3-F5-F1-F2
227,CC(OCC)O,F3-F5-F1-F2
228,CC(CCO)O,F2-F3-F5-F1
229,CCOCCO,F2-F3-F5-F1
230,C(CCO)CO,F2-F2-F3-F3
231,O=CNC(O)O,F3-F6-F9
232,O=CC(O)(O)N,F3-F6-F9
233,OCNCCO,F1-F6-F5
234,COCNCO,F1-F6-F5
235,OCN(CO)C,F1-F6-F5
236,CNC(CO)O,F1-F6-F5
237,CNC(OC)O,F1-F6-F5
238,CNCOCO,F1-F6-F5
239,OCCC(O)N,F1-F6-F5
240,COCC(O)N,F1-F6-F5
241,OCC(O)(N)C,F1-F6-F5
242,COC(O)(N)C,F1-F6-F5
243,CC(OCO)N,F1-F6-F5
244,OCNC(O)C,F1-F6-F5
245,OCCOCN,F1-F6-F5
246,COC(CO)N,F1-F6-F5
247,NC(C(O)C)O,F1-F5-F6
248,CC(OCN)O,F1-F5-F6
249,CCOC(O)N,F1-F5-F6
250,OCOCCN,F2-F4-F3-F5
251,NC(CCO)O,F2-F3-F6
252,NCOCCO,F2-F3-F6
253,NC(OCC)O,F2-F3-F6
254,OC(NCC)O,F3-F6-F2
255,CCC(O)(O)N,F3-F6-F2
256,CNC(O)(N)N,F4-F6-F4-F1
257,CCNC(O)O,F3-F6-F1-F1
258,OC(N(C)C)O,F3-F6-F1-F1
