Sl.No,Molecule_Smiles,Combination_Code
9170,OCNC(N1COCCC1)C,F1-F1-F6-F7
9171,CCNC(N1COCCC1)O,F1-F1-F6-F7
9172,NC(C(N1COCCC1)C)O,F1-F1-F6-F7
9173,NC(=O)C(N1COCCC1)O,F5-F9-F4-F7
9174,CN(C(N1COCCC1)O)C,F1-F6-F1-F7
9175,OCN(CN1COCCC1)C,F1-F6-F1-F7
9176,CC(NCN1COCCC1)O,F1-F6-F1-F7
9177,CNC(N1COCCC1)(O)C,F1-F6-F1-F7
9178,CNC(CN1COCCC1)O,F1-F6-F1-F7
9179,CC(CN1COCCC1)(O)N,F1-F6-F1-F7
9180,O=CC(NCN1COCC1)O,F1-F8-F6-F9
9181,OCN(CN1COCC1)C=O,F1-F8-F6-F9
9182,OCNC(N1COCC1)C=O,F1-F8-F6-F9
9183,O=CNC(CN1COCC1)O,F1-F8-F6-F9
9184,O=CC(CN1COCC1)(O)N,F1-F8-F6-F9
9185,O=CC(N1COCC1)C(O)N,F1-F8-F6-F9
9186,O=CCNC(N1COCC1)O,F1-F6-F8-F9
9187,O=CCC(N1COCC1)(O)N,F1-F6-F8-F9
9188,OCc1oc(cc1)CCCl,F2-F11-F20-F5
9189,OCCCc1oc(cc1)Cl,F11-F20-F2-F5
9190,OC(NC(Cl)(O)N)Cl,F6-F11-F6-F11
9191,NC(NC(Cl)(Cl)O)O,F6-F11-F6-F11
9192,NC(C(Cl)(O)N)(Cl)O,F6-F11-F6-F11
9193,NC(OC(Cl)(O)N)Cl,F6-F11-F6-F11
9194,NC(OC(Cl)(Cl)N)O,F6-F11-F6-F11
9195,NC(OCC1CC(CC1)N)O,F5-F17-F6-F4
9196,OCNC(C1CC(CC1)N)O,F5-F17-F6-F4
9197,NC(C(C1CC(CC1)N)O)O,F5-F17-F6-F4
9198,NCOC(C1CC(CC1)N)O,F5-F17-F6-F4
9199,OCC1CC(CC1)NC(O)N,F5-F17-F6-F4
9200,OCC1CC(CC1)C(O)(N)N,F5-F17-F6-F4
9201,OCC1CC(CC1)OC(N)N,F5-F17-F6-F4
9202,OCNCOC1CC(CC1)N,F5-F17-F6-F4
9203,NC(COC1CC(CC1)N)O,F5-F17-F6-F4
9204,COC1CC(CC1)NC(O)N,F5-F17-F6-F4
9205,COC1CC(CC1)C(O)(N)N,F5-F17-F6-F4
9206,OCOCNC1CC(CC1)N,F6-F17-F5-F4
9207,OCC(NC1CC(CC1)N)O,F6-F17-F5-F4
9208,COC(NC1CC(CC1)N)O,F6-F17-F5-F4
9209,OCN(C1CC(CC1)N)CO,F6-F17-F5-F4
9210,OCC(C1CC(CC1)N)(O)N,F6-F17-F5-F4
9211,COC(C1CC(CC1)N)(O)N,F6-F17-F5-F4
9212,OCOC(C1CC(CC1)N)N,F6-F17-F5-F4
9213,OCC(OC1CC(CC1)N)N,F6-F17-F5-F4
9214,OC(c1occc1)(C=O)Cl,F5-F9-F11-F20
9215,OC(C(=O)c1occc1)Cl,F5-F9-F11-F20
9216,OC(c1occc1)C(=O)Cl,F5-F9-F11-F20
9217,O=CC(c1oc(cc1)Cl)O,F5-F20-F9-F11
9218,O=Cc1oc(cc1)C(Cl)O,F5-F20-F9-F11
9219,OCc1oc(cc1)C(=O)Cl,F5-F20-F9-F11
9220,OCC(=O)c1oc(cc1)Cl,F9-F20-F5-F11
9221,CCC(c1occc1)(Cl)O,F5-F20-F11-F2
9222,CCc1oc(cc1)C(Cl)O,F5-F20-F11-F2
9223,CCC(c1oc(cc1)Cl)O,F5-F20-F11-F2
9224,OC(CCN)N1COCCC1,F5-F7-F2-F4
9225,C(CO)OCc1scnn1,F5-F15-F2-F3
9226,OC(CCO)c1scnn1,F5-F15-F2-F3
9227,C(CO)COc1scnn1,F5-F15-F2-F3
9228,OC(CCc1scnn1)O,F2-F15-F5-F3
9229,OC(CCCl)c1occc1,F5-F20-F2-F11
9230,OC(CCc1occc1)Cl,F2-F20-F5-F11
9231,OC(Nc1cnc(cc1)F)F,F12-F18-F6-F12
9232,c1nc(F)ccc1C(F)(O)N,F12-F18-F6-F12
9233,OC(Nc1ncc(cc1)F)F,F12-F18-F6-F12
9234,c1nc(ccc1F)C(F)(O)N,F12-F18-F6-F12
9235,OCOCC1CCC(C1)CO,F5-F17-F5-F5
9236,OCOCC1CCC(C1)OC,F5-F17-F5-F5
9237,OCC(C1CCC(C1)CO)O,F5-F17-F5-F5
9238,OCC(C1CCC(C1)OC)O,F5-F17-F5-F5
9239,COC(C1CCC(C1)CO)O,F5-F17-F5-F5
9240,COC(C1CCC(C1)OC)O,F5-F17-F5-F5
9241,OCCOC1CCC(C1)CO,F5-F17-F5-F5
9242,COCOC1CCC(C1)CO,F5-F17-F5-F5
9243,OCCOC1CCC(C1)OC,F5-F17-F5-F5
9244,OCNCC(=O)N1COCC1,F1-F6-F9-F8
9245,NC(CC(=O)N1COCC1)O,F1-F6-F9-F8
9246,OCNC(=O)CN1COCC1,F1-F9-F6-F8
9247,NC(C(=O)CN1COCC1)O,F1-F9-F6-F8
9248,OCNCCc1scnn1,F2-F4-F15-F5
9249,OCc1nnc(s1)CCN,F2-F4-F15-F5
9250,OCCCNc1scnn1,F2-F4-F15-F5
9251,OCN(CC)c1scnn1,F2-F4-F15-F5
9252,OCc1nnc(s1)NCC,F2-F4-F15-F5
9253,OCCCc1nnc(s1)N,F4-F15-F2-F5
9254,OCNc1nnc(s1)CC,F4-F15-F2-F5
9255,O=CC(=O)C(N1COCC1)O,F9-F9-F5-F8
9256,OCC(=O)C(=O)N1COCC1,F9-F9-F5-F8
9257,O=CC(C(=O)N1COCC1)O,F5-F9-F9-F8
9258,O=CC(N1COCC1)(C=O)O,F5-F9-F9-F8
9259,CCC(CN1COCCC1)O,F1-F7-F5-F2
9260,OCC(CC)N1COCCC1,F1-F7-F5-F2
9261,O=CC(CN1COCCC1)O,F1-F7-F5-F9
9262,OCC(N1COCCC1)C=O,F1-F7-F5-F9
9263,OC(NC1CCCC1)OCC,F3-F6-F17-F2
9264,CCC(NC1CCCC1)(O)O,F3-F6-F17-F2
9265,OC(N(C1CCCC1)CC)O,F3-F6-F17-F2
9266,OC(NC1CC(CC1)CC)O,F3-F6-F17-F2
9267,O=CC(NC1CCCC1)(O)O,F3-F6-F17-F9
9268,O=CN(C1CCCC1)C(O)O,F3-F6-F17-F9
9269,O=CC1CC(CC1)NC(O)O,F3-F6-F17-F9
9270,CCC1CCC(C1)C(O)(O)N,F3-F6-F17-F2
9271,CCOC(C1CCCC1)(O)N,F3-F6-F17-F2
9272,CCNC(C1CCCC1)(O)O,F3-F6-F17-F2
9273,O=CC1CC(CC1)C(O)(O)N,F3-F6-F17-F9
9274,O=CNC(C1CCCC1)(O)O,F3-F6-F17-F9
9275,OC(OC1CCCC1)NCC,F3-F6-F17-F2
9276,CCC(OC1CCCC1)(O)N,F3-F6-F17-F2
9277,NC(OC1CC(CC1)CC)O,F3-F6-F17-F2
9278,O=CNC(OC1CCCC1)O,F3-F6-F17-F9
9279,O=CC(OC1CCCC1)(O)N,F3-F6-F17-F9
9280,O=CC1CC(CC1)OC(O)N,F3-F6-F17-F9
9281,CCOCNC1CC(CC1)O,F3-F17-F6-F2
9282,CCC(NC1CC(CC1)O)O,F3-F17-F6-F2
9283,OCN(C1CC(CC1)O)CC,F3-F17-F6-F2
9284,OCNC1CC(CC1)OCC,F3-F17-F6-F2
9285,O=CC(NC1CC(CC1)O)O,F3-F17-F6-F9
9286,OCN(C1CC(CC1)O)C=O,F3-F17-F6-F9
9287,CCNC(C1CC(CC1)O)O,F3-F17-F6-F2
9288,CCC(C1CC(CC1)O)(O)N,F3-F17-F6-F2
9289,CCOC1CCC(C1)C(O)N,F3-F17-F6-F2
9290,CCOC(C1CC(CC1)O)N,F3-F17-F6-F2
9291,O=CNC(C1CC(CC1)O)O,F3-F17-F6-F9
9292,O=CC(C1CC(CC1)O)(O)N,F3-F17-F6-F9
9293,CCNCOC1CC(CC1)O,F3-F17-F6-F2
9294,CCC(OC1CC(CC1)O)N,F3-F17-F6-F2
9295,O=CNCOC1CC(CC1)O,F3-F17-F6-F9
9296,O=CC(OC1CC(CC1)O)N,F3-F17-F6-F9
9297,OC(N1COCCC1)CCC,F5-F7-F1-F2
9298,CCC(N1COCCC1)(O)C,F5-F7-F1-F2
9299,O=CCC(N1COCCC1)O,F5-F7-F1-F9
9300,O=CC(N1COCCC1)(O)C,F5-F7-F1-F9
9301,OCC(=O)CN1COCCC1,F1-F7-F9-F5
9302,OCOCNC1CC(CC1)C,F1-F17-F6-F5
9303,OCC(NC1CC(CC1)C)O,F1-F17-F6-F5
9304,COC(NC1CC(CC1)C)O,F1-F17-F6-F5
9305,OCN(C1CC(CC1)C)CO,F1-F17-F6-F5
9306,OCCC1CC(CC1)NCO,F1-F17-F6-F5
9307,COCC1CC(CC1)NCO,F1-F17-F6-F5
9308,OCNC(C1CC(CC1)C)O,F1-F17-F6-F5
9309,OCC(C1CC(CC1)C)(O)N,F1-F17-F6-F5
9310,COC(C1CC(CC1)C)(O)N,F1-F17-F6-F5
9311,OCCC1CCC(C1)C(O)N,F1-F17-F6-F5
9312,COCC1CCC(C1)C(O)N,F1-F17-F6-F5
9313,OCOC(C1CC(CC1)C)N,F1-F17-F6-F5
9314,OCNCOC1CC(CC1)C,F1-F17-F6-F5
9315,OCC(OC1CC(CC1)C)N,F1-F17-F6-F5
9316,OCCC1CC(CC1)OCN,F1-F17-F6-F5
9317,OCOCNCC1CCCC1,F1-F17-F6-F5
9318,OCC(NCC1CCCC1)O,F1-F17-F6-F5
9319,COC(NCC1CCCC1)O,F1-F17-F6-F5
9320,OCN(CC1CCCC1)CO,F1-F17-F6-F5
9321,OCNC(C1CCCC1)CO,F1-F17-F6-F5
9322,OCNC(C1CCCC1)OC,F1-F17-F6-F5
9323,OCNCC1CCC(C1)CO,F1-F17-F6-F5
9324,OCNCC1CCC(C1)OC,F1-F17-F6-F5
9325,OCNC(CC1CCCC1)O,F1-F17-F6-F5
9326,OCC(CC1CCCC1)(O)N,F1-F17-F6-F5
9327,COC(CC1CCCC1)(O)N,F1-F17-F6-F5
9328,OCC(C1CCCC1)C(O)N,F1-F17-F6-F5
9329,COC(C1CCCC1)C(O)N,F1-F17-F6-F5
9330,OCC1CC(CC1)CC(O)N,F1-F17-F6-F5
9331,COC1CC(CC1)CC(O)N,F1-F17-F6-F5
9332,OCOC(CC1CCCC1)N,F1-F17-F6-F5
9333,OCNCOCC1CCCC1,F1-F17-F6-F5
9334,OCC(OCC1CCCC1)N,F1-F17-F6-F5
9335,NCOC(C1CCCC1)CO,F1-F17-F6-F5
9336,NCOCC1CCC(C1)CO,F1-F17-F6-F5
9337,OCOCN(C1CCCC1)C,F1-F6-F17-F5
9338,OCC(N(C1CCCC1)C)O,F1-F6-F17-F5
9339,COC(N(C1CCCC1)C)O,F1-F6-F17-F5
9340,OCN(C1CCC(C1)CO)C,F1-F6-F17-F5
9341,OCN(C1CCC(C1)OC)C,F1-F6-F17-F5
9342,OCCN(C1CCCC1)CO,F1-F6-F17-F5
9343,COCN(C1CCCC1)CO,F1-F6-F17-F5
9344,OCCNC(C1CCCC1)O,F1-F6-F17-F5
9345,COCNC(C1CCCC1)O,F1-F6-F17-F5
9346,OCN(C(C1CCCC1)O)C,F1-F6-F17-F5
9347,OCC(C1CCCC1)(NC)O,F1-F6-F17-F5
9348,CNC(C1CCCC1)(OC)O,F1-F6-F17-F5
9349,CNC(C1CCC(C1)CO)O,F1-F6-F17-F5
9350,CNC(C1CCC(C1)OC)O,F1-F6-F17-F5
9351,OCOC(C1CCCC1)NC,F1-F6-F17-F5
9352,OCCNCOC1CCCC1,F1-F6-F17-F5
9353,OCN(COC1CCCC1)C,F1-F6-F17-F5
9354,OCC(OC1CCCC1)NC,F1-F6-F17-F5
9355,CNCOC1CCC(C1)CO,F1-F6-F17-F5
9356,OCC1CC(CC1)C(O)(N)C,F1-F6-F17-F5
9357,COC1CC(CC1)C(O)(N)C,F1-F6-F17-F5
9358,OCOC(C1CCCC1)(N)C,F1-F6-F17-F5
9359,OCNC(C1CCCC1)(O)C,F1-F6-F17-F5
9360,OCCC(C1CCCC1)(O)N,F1-F6-F17-F5
9361,COCC(C1CCCC1)(O)N,F1-F6-F17-F5
9362,OCCC(OC1CCCC1)N,F1-F6-F17-F5
9363,OCC(OC1CCCC1)(N)C,F1-F6-F17-F5
9364,OCC1CC(CC1)OC(N)C,F1-F6-F17-F5
9365,OCNC(OC1CCCC1)C,F1-F6-F17-F5
9366,OCCC(NC1CCCC1)O,F1-F6-F17-F5
9367,COCC(NC1CCCC1)O,F1-F6-F17-F5
9368,OCC(NC1CCCC1)(O)C,F1-F6-F17-F5
9369,COC(NC1CCCC1)(O)C,F1-F6-F17-F5
9370,OCN(C1CCCC1)C(O)C,F1-F6-F17-F5
9371,OCC1CC(CC1)NC(O)C,F1-F6-F17-F5
9372,COC1CC(CC1)NC(O)C,F1-F6-F17-F5
9373,OCOC(NC1CCCC1)C,F1-F6-F17-F5
9374,OCCOC(C1CCCC1)N,F1-F6-F17-F5
9375,OCC(C1CCCC1)(OC)N,F1-F6-F17-F5
9376,COC(C1CCC(C1)CO)N,F1-F6-F17-F5
9377,OCCOCNC1CCCC1,F1-F6-F17-F5
9378,OCC(NC1CCCC1)OC,F1-F6-F17-F5
9379,COCNC1CCC(C1)CO,F1-F6-F17-F5
9380,OCCC(=O)N1COCCC1,F7-F9-F1-F5
9381,OC(NC(=O)C1CCCC1)O,F3-F6-F9-F17
9382,C1CCC(C1)C(=O)C(O)(O)N,F3-F6-F9-F17
9383,OCNCC(C1CCCC1)O,F1-F6-F5-F17
9384,OCNCCOC1CCCC1,F1-F6-F5-F17
9385,CNC(C(C1CCCC1)O)O,F1-F6-F5-F17
9386,CNC(COC1CCCC1)O,F1-F6-F5-F17
9387,CNC(OCC1CCCC1)O,F1-F6-F5-F17
9388,CNCOC(C1CCCC1)O,F1-F6-F5-F17
9389,NC(CCOC1CCCC1)O,F1-F6-F5-F17
9390,NC(CC(C1CCCC1)O)O,F1-F6-F5-F17
9391,NC(COCC1CCCC1)O,F1-F6-F5-F17
9392,C1CCC(C1)OCC(O)(N)C,F1-F6-F5-F17
9393,C1CCC(C1)C(C(O)(N)C)O,F1-F6-F5-F17
9394,C1CCC(C1)COC(O)(N)C,F1-F6-F5-F17
9395,CC(OC(C1CCCC1)O)N,F1-F6-F5-F17
9396,CC(NCOC1CCCC1)O,F1-F6-F5-F17
9397,CC(NC(C1CCCC1)O)O,F1-F6-F5-F17
9398,NCOCC(C1CCCC1)O,F1-F6-F5-F17
9399,COC(C(C1CCCC1)O)N,F1-F6-F5-F17
9400,OC(C(O)C)NC1CCCC1,F1-F5-F6-F17
9401,CC(C(C1CCCC1)(O)N)O,F1-F5-F6-F17
9402,NC(C(C1CCCC1)(O)C)O,F1-F5-F6-F17
9403,CC(C(O)N)OC1CCCC1,F1-F5-F6-F17
9404,OC(C(O)N)CC1CCCC1,F1-F5-F6-F17
9405,NC(C(O)C)OC1CCCC1,F1-F5-F6-F17
9406,NCOC(CC1CCCC1)O,F1-F5-F6-F17
9407,NCOC(C1CCCC1)(O)C,F1-F5-F6-F17
9408,CC(OC(C1CCCC1)N)O,F1-F5-F6-F17
9409,CC(OCNC1CCCC1)O,F1-F5-F6-F17
9410,NC(OCCC1CCCC1)O,F1-F5-F6-F17
9411,NC(OC(C1CCCC1)C)O,F1-F5-F6-F17
9412,CCOC(NC1CCCC1)O,F1-F5-F6-F17
9413,OC(NCOc1occc1)O,F3-F6-F5-F20
9414,OC(c1occc1)NC(O)O,F3-F6-F5-F20
9415,OCN(c1occc1)C(O)O,F3-F6-F5-F20
9416,OCNC(c1occc1)(O)O,F3-F6-F5-F20
9417,OC(Oc1occc1)NCO,F3-F6-F5-F20
9418,NC(COc1occc1)(O)O,F3-F6-F5-F20
9419,OC(C(O)(O)N)c1occc1,F3-F6-F5-F20
9420,NC(Oc1occc1)(CO)O,F3-F6-F5-F20
9421,OCC(Nc1occc1)(O)O,F3-F6-F5-F20
9422,NC(OCc1occc1)(O)O,F3-F6-F5-F20
9423,COC(Oc1occc1)(O)N,F3-F6-F5-F20
9424,COC(Nc1occc1)(O)O,F3-F6-F5-F20
9425,NC(OCOc1occc1)O,F3-F6-F5-F20
9426,NC(OC(c1occc1)O)O,F3-F6-F5-F20
9427,NC(c1occc1)(OCO)O,F3-F6-F5-F20
9428,NC(OCO)Oc1occc1,F3-F6-F5-F20
9429,OC(OCO)Nc1occc1,F3-F6-F5-F20
9430,OC(c1occc1)(NC=O)F,F6-F12-F9-F20
9431,OC(N(c1occc1)C=O)F,F6-F12-F9-F20
9432,OC(NC(=O)c1occc1)F,F6-F12-F9-F20
9433,OC(C=O)(Nc1occc1)F,F6-F12-F9-F20
9434,NC(C(=O)c1occc1)(F)O,F6-F12-F9-F20
9435,NC(C(Oc1occc1)O)O,F3-F5-F6-F20
9436,NC(C(c1occc1)(O)O)O,F3-F5-F6-F20
9437,OC(C(c1occc1)(O)N)O,F3-F5-F6-F20
9438,NC(C(O)O)Oc1occc1,F3-F5-F6-F20
9439,OC(C(O)O)Nc1occc1,F3-F5-F6-F20
9440,OC(OCNc1occc1)O,F3-F5-F6-F20
9441,NC(c1occc1)OC(O)O,F3-F5-F6-F20
9442,NCOC(c1occc1)(O)O,F3-F5-F6-F20
9443,NCOC(Oc1occc1)O,F3-F5-F6-F20
9444,OC(c1occc1)NC(=O)F,F9-F12-F6-F20
9445,OCN(c1occc1)C(=O)F,F9-F12-F6-F20
9446,OC(C(=O)F)Nc1occc1,F9-F12-F6-F20
9447,NC(c1occc1)(C(=O)F)O,F9-F12-F6-F20
9448,OCNCc1sc(cc1)O,F1-F14-F3-F6
9449,NC(Cc1sc(cc1)O)O,F1-F14-F3-F6
9450,NC(Oc1sc(cc1)C)O,F1-F14-F3-F6
9451,NC(OCc1sccc1)O,F1-F14-F3-F6
9452,OC(c1sccc1)NCO,F1-F14-F3-F6
9453,NC(C(c1sccc1)O)O,F1-F14-F3-F6
9454,NCOC(c1sccc1)O,F1-F14-F3-F6
9455,OCNc1sc(cc1)CO,F1-F14-F3-F6
9456,OCc1sc(cc1)C(O)N,F1-F14-F3-F6
9457,NCOc1sc(cc1)CO,F1-F14-F3-F6
9458,OCNc1oc(cc1)C(O)O,F5-F20-F3-F6
9459,NC(c1oc(cc1)C(O)O)O,F5-F20-F3-F6
9460,NCOc1oc(cc1)C(O)O,F5-F20-F3-F6
9461,NC(OCc1oc(cc1)O)O,F5-F20-F3-F6
9462,OCNC(c1oc(cc1)O)O,F5-F20-F3-F6
9463,NC(C(c1oc(cc1)O)O)O,F5-F20-F3-F6
9464,NCOC(c1oc(cc1)O)O,F5-F20-F3-F6
9465,OCc1oc(cc1)OC(O)N,F5-F20-F3-F6
9466,OCNc1oc(cc1)OCO,F5-F20-F3-F6
9467,OCOc1oc(cc1)C(O)N,F5-F20-F3-F6
9468,NCOc1oc(cc1)OCO,F5-F20-F3-F6
9469,OCNCOc1oc(cc1)O,F5-F20-F3-F6
9470,NC(COc1oc(cc1)O)O,F5-F20-F3-F6
9471,COc1oc(cc1)OC(O)N,F5-F20-F3-F6
9472,NC(Oc1ncc(nc1)F)O,F12-F19-F3-F6
9473,NC(Nc1sc(cc1)N)O,F4-F14-F4-F6
9474,OCNc1oc(cc1)C(=O)F,F9-F20-F12-F6
9475,NC(c1oc(cc1)C(=O)F)O,F9-F20-F12-F6
9476,OCNC(=O)c1oc(cc1)F,F9-F20-F12-F6
9477,NC(C(=O)c1oc(cc1)F)O,F9-F20-F12-F6
9478,OCNCOc1sccc1,F3-F14-F1-F6
9479,NC(COc1sccc1)O,F3-F14-F1-F6
9480,OCNc1sc(cc1)OC,F3-F14-F1-F6
9481,COc1sc(cc1)C(O)N,F3-F14-F1-F6
9482,OCC(=O)CCN1COCC1,F2-F8-F9-F5
9483,OCCCC(=O)N1COCC1,F8-F9-F2-F5
9484,O=CC(=O)C1NC(O)NCN1,F9-F9-F16-F3
9485,NC(c1nncs1)(C=O)O,F5-F15-F9-F4
9486,Nc1nnc(s1)C(C=O)O,F5-F15-F9-F4
9487,NC(=O)C(c1nncs1)O,F5-F15-F9-F4
9488,O=Cc1nnc(s1)C(O)N,F5-F15-F9-F4
9489,OCc1nnc(s1)C(=O)N,F5-F15-F9-F4
9490,NC(C(=O)c1nncs1)O,F9-F15-F5-F4
9491,Nc1nnc(s1)C(=O)CO,F9-F15-F5-F4
9492,CCC(Nc1nncs1)O,F6-F15-F1-F1
9493,CC(Nc1scnn1)(O)C,F6-F15-F1-F1
9494,CN(c1nncs1)C(O)C,F6-F15-F1-F1
9495,CC(Nc1nnc(s1)C)O,F6-F15-F1-F1
9496,CCN(c1nncs1)CO,F6-F15-F1-F1
9497,CN(c1nnc(s1)C)CO,F6-F15-F1-F1
9498,CCNC(c1nncs1)O,F6-F15-F1-F1
9499,OC(c1scnn1)N(C)C,F6-F15-F1-F1
9500,CC(c1nncs1)(NC)O,F6-F15-F1-F1
9501,CNC(c1nnc(s1)C)O,F6-F15-F1-F1
9502,CCC(c1nncs1)(O)N,F6-F15-F1-F1
9503,Cc1nnc(s1)C(O)(N)C,F6-F15-F1-F1
9504,CCc1nnc(s1)C(O)N,F6-F15-F1-F1
9505,CC(NCc1nncs1)O,F1-F15-F6-F1
9506,CN(CO)Cc1nncs1,F1-F15-F6-F1
9507,CC(c1nncs1)NCO,F1-F15-F6-F1
9508,Cc1nnc(s1)CNCO,F1-F15-F6-F1
9509,CNC(Cc1nncs1)O,F1-F15-F6-F1
9510,CC(Cc1nncs1)(O)N,F1-F15-F6-F1
9511,CC(c1nncs1)C(O)N,F1-F15-F6-F1
9512,Cc1nnc(s1)CC(O)N,F1-F15-F6-F1
9513,CC(=O)C(C1NCNCN1)O,F5-F16-F9-F1
9514,O=CC(C1NCNCN1)(O)C,F5-F16-F9-F1
9515,O=CC(C1NC(C)NCN1)O,F5-F16-F9-F1
9516,O=CC1NC(C(O)C)NCN1,F5-F16-F9-F1
9517,OCC1NCNC(N1)C(=O)C,F5-F16-F9-F1
9518,CC(C(=O)C1NCNCN1)O,F9-F16-F5-F1
9519,OCC(=O)C1NC(C)NCN1,F9-F16-F5-F1
9520,OC(NCCc1occc1)F,F2-F20-F6-F12
9521,OCNCCc1oc(cc1)F,F2-F20-F6-F12
9522,c1coc(c1)CCC(F)(O)N,F2-F20-F6-F12
9523,NC(CCc1oc(cc1)F)O,F2-F20-F6-F12
9524,OC(Nc1oc(cc1)CC)F,F2-F20-F6-F12
9525,OCNc1oc(cc1)CCF,F2-F20-F6-F12
9526,NC(c1oc(cc1)CCF)O,F2-F20-F6-F12
9527,CCc1oc(cc1)C(F)(O)N,F2-F20-F6-F12
9528,OC(c1occc1)NCCF,F2-F6-F20-F12
9529,CCNC(c1occc1)(F)O,F2-F6-F20-F12
9530,CCNC(c1oc(cc1)F)O,F2-F6-F20-F12
9531,OC(N(CC)c1occc1)F,F2-F6-F20-F12
9532,OCN(CCF)c1occc1,F2-F6-F20-F12
9533,OCN(CC)c1oc(cc1)F,F2-F6-F20-F12
9534,OC(CCF)Nc1occc1,F2-F6-F20-F12
9535,CCC(Nc1occc1)(F)O,F2-F6-F20-F12
9536,CCC(Nc1oc(cc1)F)O,F2-F6-F20-F12
9537,c1coc(c1)C(CCF)(O)N,F2-F6-F20-F12
9538,CCC(c1oc(cc1)F)(O)N,F2-F6-F20-F12
9539,OC(c1scnn1)NCC,F5-F15-F4-F2
9540,CCC(c1scnn1)(O)N,F5-F15-F4-F2
9541,OC(c1nncs1)NC=O,F5-F15-F4-F9
9542,OC(CC)c1nnc(s1)N,F5-F15-F4-F2
9543,OCc1nnc(s1)NC=O,F5-F15-F4-F9
9544,OC(CC)Nc1scnn1,F4-F15-F5-F2
9545,OC(C=O)Nc1nncs1,F4-F15-F5-F9
9546,OCN(c1nncs1)C=O,F4-F15-F5-F9
9547,OCNc1nnc(s1)C=O,F4-F15-F5-F9
9548,OC(Oc1ncccc1)Cl,F5-F11-F3-F18
9549,OC(Oc1cnccc1)Cl,F5-F11-F3-F18
9550,c1cccc(n1)C(Cl)(O)O,F5-F11-F3-F18
9551,c1cncc(c1)C(Cl)(O)O,F5-F11-F3-F18
9552,OC(Nc1ccccc1)(F)F,F6-F12-F12-F10
9553,OC(Nc1sc(cc1)C)O,F1-F14-F6-F3
9554,Cc1sc(cc1)C(O)(O)N,F1-F14-F6-F3
9555,OC(NCc1sccc1)O,F1-F14-F6-F3
9556,NC(Cc1sccc1)(O)O,F1-F14-F6-F3
9557,OCc1oc(cc1)NC(O)O,F5-F20-F6-F3
9558,OCc1oc(cc1)C(O)(O)N,F5-F20-F6-F3
9559,COc1oc(cc1)NC(O)O,F5-F20-F6-F3
9560,COc1oc(cc1)C(O)(O)N,F5-F20-F6-F3
9561,OC(Nc1ncc(nc1)F)O,F12-F19-F6-F3
9562,c1nc(cnc1F)C(O)(O)N,F12-F19-F6-F3
9563,OCOCNc1sccc1,F6-F14-F1-F3
9564,COC(Nc1sccc1)O,F6-F14-F1-F3
9565,OC(Nc1sccc1)CO,F6-F14-F1-F3
9566,CC(Nc1sccc1)(O)O,F6-F14-F1-F3
9567,CC(Nc1sc(cc1)O)O,F6-F14-F1-F3
9568,OCN(c1sccc1)CO,F6-F14-F1-F3
9569,OCN(c1sc(cc1)O)C,F6-F14-F1-F3
9570,OC(N(c1sccc1)C)O,F6-F14-F1-F3
9571,CNC(c1sccc1)(O)O,F6-F14-F1-F3
9572,CNC(c1sc(cc1)O)O,F6-F14-F1-F3
9573,Oc1sc(cc1)C(O)(N)C,F6-F14-F1-F3
9574,NC(c1sccc1)(CO)O,F6-F14-F1-F3
9575,NC(c1sccc1)OCO,F6-F14-F1-F3
9576,COC(c1sccc1)(O)N,F6-F14-F1-F3
9577,CNC(Oc1sccc1)O,F6-F14-F1-F3
9578,NC(Oc1sccc1)CO,F6-F14-F1-F3
9579,CC(Oc1sccc1)(O)N,F6-F14-F1-F3
9580,OC(Nc1nccnc1)(F)O,F6-F12-F19-F3
9581,OC(Nc1ncc(nc1)O)F,F6-F12-F19-F3
9582,c1nc(cnc1O)C(F)(O)N,F6-F12-F19-F3
9583,NC(Oc1nccnc1)(F)O,F6-F12-F19-F3
9584,OCOCNc1oc(cc1)O,F6-F20-F5-F3
9585,OCC(Nc1oc(cc1)O)O,F6-F20-F5-F3
9586,COC(Nc1oc(cc1)O)O,F6-F20-F5-F3
9587,OCN(c1oc(cc1)O)CO,F6-F20-F5-F3
9588,OCC(c1oc(cc1)O)(O)N,F6-F20-F5-F3
9589,COC(c1oc(cc1)O)(O)N,F6-F20-F5-F3
9590,OCOC(c1oc(cc1)O)N,F6-F20-F5-F3
9591,OCC(Oc1oc(cc1)O)N,F6-F20-F5-F3
9592,OCOc1ncc(cc1)Cl,F3-F18-F11-F5
9593,OCOc1cnc(cc1)Cl,F3-F18-F11-F5
9594,OC(c1cnc(cc1)O)Cl,F3-F18-F5-F11
9595,OC(c1ncc(cc1)O)Cl,F3-F18-F5-F11
9596,OC(c1ncc(cc1)Cl)O,F3-F5-F18-F11
9597,OC(c1cnc(cc1)Cl)O,F3-F5-F18-F11
9598,O=Cc1oc(cc1)NC(F)O,F9-F20-F6-F12
9599,O=Cc1oc(cc1)C(F)(O)N,F9-F20-F6-F12
9600,O=CC(Nc1oc(cc1)F)O,F6-F20-F9-F12
9601,OCN(c1oc(cc1)F)C=O,F6-F20-F9-F12
9602,O=CNC(c1oc(cc1)F)O,F6-F20-F9-F12
9603,O=CC(c1oc(cc1)F)(O)N,F6-F20-F9-F12
